respondent_id,sentiment,intensity
R183,негативная,средняя
R184,позитивная,низкая
R185,негативная,высокая
R186,позитивная,высокая
R187,нейтральная,средняя
R188,позитивная,средняя
R189,негативная,средняя
R190,негативная,высокая
R191,позитивная,высокая
R192,позитивная,низкая
R193,негативная,средняя
R194,нейтральная,средняя
R195,позитивная,средняя
R196,негативная,средняя
R197,нейтральная,средняя
R198,позитивная,высокая
R199,негативная,средняя
R200,негативная,средняя
R201,позитивная,средняя
R202,позитивная,высокая
R203,негативная,высокая
R204,позитивная,средняя
R205,нейтральная,низкая
R206,нейтральная,средняя
R207,негативная,средняя
R208,негативная,высокая
R209,позитивная,высокая
R210,негативная,высокая
R211,позитивная,высокая
R212,позитивная,низкая
R213,позитивная,средняя
R214,негативная,средняя
R215,негативная,высокая
R216,нейтральная,средняя
R217,негативная,высокая
R218,позитивная,высокая
R219,нейтральная,низкая
R220,позитивная,высокая
R221,негативная,средняя
R222,позитивная,средняя
R223,позитивная,средняя
R224,негативная,средняя
R225,негативная,средняя
R226,нейтральная,средняя
R227,позитивная,высокая
R228,негативная,высокая
R229,нейтральная,низкая
R230,позитивная,высокая
R231,позитивная,средняя
R232,негативная,средняя
R233,негативная,средняя
R234,позитивная,средняя
R235,негативная,высокая
R236,нейтральная,средняя
R237,позитивная,высокая
R238,позитивная,высокая
R239,позитивная,средняя
R240,негативная,средняя
R241,нейтральная,низкая
R242,негативная,средняя
R243,позитивная,средняя
R244,негативная,средняя
R245,негативная,высокая
R246,позитивная,высокая
R247,нейтральная,средняя
R248,позитивная,средняя
R249,позитивная,высокая
R250,негативная,средняя
R251,негативная,средняя
R252,позитивная,средняя
R253,негативная,средняя
R254,нейтральная,низкая
R255,позитивная,низкая
R256,позитивная,высокая
R257,нейтральная,средняя
R258,позитивная,высокая
R259,негативная,средняя
R260,негативная,высокая
R261,негативная,средняя
R262,позитивная,средняя
R263,позитивная,средняя
R264,нейтральная,низкая
R265,негативная,высокая
R266,позитивная,высокая
R267,позитивная,высокая
R268,нейтральная,средняя
R269,негативная,средняя
R270,негативная,средняя
R271,позитивная,средняя
R272,позитивная,средняя
R273,негативная,высокая
R274,нейтральная,низкая
R275,позитивная,высокая
R276,негативная,высокая
R277,позитивная,высокая
R278,нейтральная,средняя
R279,негативная,средняя
R280,позитивная,средняя
R281,негативная,средняя
R282,позитивная,низкая
R283,позитивная,высокая
R284,нейтральная,низкая
R285,негативная,высокая
R286,нейтральная,средняя
R287,негативная,средняя
R288,позитивная,высокая
R289,позитивная,средняя
R290,негативная,средняя
R291,позитивная,средняя
R292,позитивная,высокая
R293,негативная,средняя
R294,нейтральная,низкая
R295,негативная,средняя
R296,позитивная,средняя
R297,позитивная,высокая
R298,нейтральная,средняя
R299,негативная,средняя
R300,нейтральная,низкая
